-763.000000 -343.000000 -394.000000, 117.000000 653.000000 -614.000000, 138.000000 712.000000 -604.000000, -578.000000 -427.000000 -515.000000, 367.000000 677.000000 -639.000000, 534.000000 -604.000000 292.000000, 429.000000 -524.000000 465.000000, -621.000000 -338.000000 -456.000000, 320.000000 727.000000 -769.000000, 687.000000 -503.000000 352.000000, 379.000000 672.000000 -711.000000, -663.000000 -526.000000 -519.000000, 541.000000 -524.000000 446.000000, -151.000000 -293.000000 258.000000, 514.000000 -634.000000 275.000000, 493.000000 -552.000000 265.000000, 492.000000 -383.000000 321.000000, 133.000000 554.000000 -814.000000, 540.000000 -570.000000 491.000000, 581.000000 -555.000000 468.000000, -269.000000 -350.000000 76.000000, -590.000000 -361.000000 -373.000000, -116.000000 -228.000000 5.000000, 134.000000 515.000000 -714.000000, -256.000000 -337.000000 42.000000, 135.000000 771.000000 -712.000000, -57.000000 -313.000000 137.000000, -309.000000 -227.000000 154.000000, 548.000000 -459.000000 287.000000, 386.000000 606.000000 -792.000000, 
-747.144897 -401.552490 -386.871674, 170.620056 613.620056 -620.823364, 189.166382 724.219177 -606.590820, -572.725098 -443.309448 -495.425964, 323.141815 654.423706 -616.886108, 567.098694 -596.797791 316.559998, 452.733917 -502.903534 453.464600, -641.206543 -351.232910 -480.938538, 289.942566 721.452942 -765.274292, 668.718811 -486.839844 359.046997, 341.129852 649.325012 -710.173401, -681.522583 -527.436951 -455.650452, 548.096985 -468.738586 445.456543, -164.127106 -336.804077 228.241684, 476.620605 -624.441223 296.787628, 473.342041 -539.470642 292.641693, 496.303497 -398.986115 352.765167, 179.101379 593.065430 -791.824890, 519.178833 -595.972351 478.745514, 634.122803 -554.743286 466.506470, -244.585159 -406.758484 126.360397, -595.230774 -426.441498 -341.736420, -121.327583 -262.234039 34.328449, 192.584381 551.983276 -684.659119, -216.802246 -352.745117 27.738808, 166.577103 740.119141 -738.031494, -84.053848 -367.046021 127.205276, -268.890106 -254.638565 167.736145, 574.116516 -448.907562 298.366241, 331.100220 575.068237 -770.110718, 
-743.532776 -405.936584 -377.551819, 174.226089 606.476013 -613.320984, 197.720352 733.664795 -611.110413, -567.162415 -464.472229 -493.301819, 327.026611 652.739441 -608.394836, 597.243713 -592.070984 316.259857, 459.131256 -489.733856 454.069794, -654.544006 -355.187897 -488.455261, 298.857574 730.910156 -765.269897, 669.267761 -471.221527 357.768036, 339.723572 655.356018 -706.984802, -694.908264 -531.008301 -447.891663, 566.188599 -440.296173 457.139343, -147.157074 -334.572906 226.076813, 472.756134 -612.076538 316.174500, 475.737305 -523.991272 302.651489, 487.256317 -402.538239 350.881927, 179.547760 597.679504 -785.276550, 512.379822 -595.701782 463.507507, 648.150696 -556.341064 462.629242, -243.436340 -426.430817 143.006638, -592.036499 -439.364990 -337.452057, -117.347527 -263.179871 53.917511, 205.630554 555.375610 -680.248779, -221.489731 -361.518585 29.219538, 165.846100 733.744446 -745.451843, -82.966286 -391.532318 124.848373, -255.358215 -261.107178 165.245667, 590.208923 -437.237518 294.134277, 325.177246 568.495605 -765.425659, 
-738.724976 -403.465027 -367.079132, 173.117737 604.076599 -608.952820, 202.066818 736.136292 -614.963440, -568.749329 -478.296600 -489.574768, 329.585999 649.248352 -604.419495, 614.705933 -586.321777 313.509613, 466.572266 -477.447510 456.463867, -661.190308 -361.047729 -490.952911, 303.631348 734.364929 -765.274780, 668.836792 -459.979370 360.661804, 336.236145 662.464050 -704.168640, -707.651550 -530.513489 -444.023499, 582.543823 -428.527985 461.416656, -131.316833 -326.667267 222.982498, 478.233673 -604.221069 322.077179, 484.805786 -513.710754 305.985291, 484.109283 -405.468018 344.939697, 179.270935 598.325073 -781.580994, 512.431091 -590.374207 458.154938, 649.762146 -560.283081 459.974670, -242.017380 -430.373322 159.000946, -589.585266 -443.143921 -338.259399, -113.882996 -265.794189 63.422989, 213.890167 557.558472 -677.596558, -227.034653 -365.956421 31.787376, 166.010422 730.427856 -748.963501, -86.311180 -411.702667 117.628754, -252.228607 -266.024933 165.750916, 599.039795 -430.843750 292.808411, 324.262329 567.946045 -763.853333, 
-733.962402 -400.141418 -359.225128, 170.500000 602.780457 -608.264099, 204.949173 736.644531 -616.585144, -571.833557 -487.409943 -487.422211, 331.457184 644.567444 -601.695679, 624.176941 -582.292236 311.201721, 472.888214 -466.222717 458.884308, -664.005615 -364.327728 -492.298920, 306.276886 735.495544 -767.730408, 666.826782 -454.448944 364.634644, 333.353271 671.286316 -699.255737, -715.591003 -528.843140 -440.843475, 594.487488 -424.488770 463.012787, -118.900642 -319.995972 218.991699, 482.840027 -600.379883 322.699249, 491.873016 -509.034454 307.422241, 485.063385 -405.966675 340.082825, 178.998215 597.107483 -779.231689, 512.019287 -586.577454 455.936188, 648.822510 -563.247253 458.237701, -239.785126 -429.437805 172.830490, -587.261841 -443.737976 -339.823944, -112.863815 -269.571777 65.087021, 222.146851 559.137268 -674.449280, -232.567749 -368.142883 34.661736, 166.934723 729.092163 -751.059509, -90.980240 -422.821045 111.485634, -251.477753 -268.953491 166.894699, 605.605835 -427.803314 291.796600, 324.822815 569.116699 -764.308838, 
-730.289490 -397.478302 -355.016266, 167.578384 602.281738 -609.279053, 206.749771 736.657410 -617.038330, -574.808167 -493.269318 -486.265381, 332.378052 638.088318 -599.564148, 630.042725 -579.675049 310.188049, 477.940247 -456.996002 459.695679, -665.013123 -366.489868 -493.017181, 307.417664 735.000000 -771.870483, 664.373901 -451.434326 369.141418, 332.450470 684.200989 -692.246094, -720.147278 -527.743652 -437.785797, 603.775269 -423.117950 464.478882, -111.218689 -315.503845 215.368500, 486.412659 -598.364563 321.832642, 497.431458 -506.573700 309.561493, 486.585846 -405.816193 335.600739, 178.329971 595.025024 -776.733582, 510.331299 -583.412781 455.331696, 647.298096 -565.288147 457.085510, -236.702759 -427.006653 182.722931, -585.006836 -443.371674 -341.267670, -113.515961 -272.547638 63.084141, 230.836075 560.597778 -670.473206, -236.987793 -370.027924 37.391785, 167.904648 728.359009 -752.521912, -94.323418 -427.541321 107.778900, -250.564407 -269.687531 167.513779, 611.852905 -425.985535 290.517761, 325.939087 571.636780 -764.583313, 
-727.666138 -395.186066 -352.978363, 164.154602 601.833984 -612.337036, 206.798340 736.243042 -616.544922, -577.340210 -497.655396 -485.648956, 332.833618 629.393616 -598.725647, 633.483826 -577.994751 309.619080, 481.724670 -449.396179 459.735748, -664.662170 -367.575958 -493.525696, 307.885284 732.396667 -777.364624, 661.501160 -450.452881 372.992645, 331.820953 699.801453 -682.355408, -722.567017 -526.963135 -434.699921, 610.665100 -423.649475 465.686798, -106.535683 -312.579559 212.243973, 489.532532 -597.722900 320.714996, 500.879028 -505.068207 311.641663, 488.469604 -405.999542 330.985626, 177.838531 592.606873 -774.320923, 507.961853 -580.810791 455.024200, 645.950928 -567.387634 456.343353, -233.570511 -425.039124 189.298309, -583.283569 -443.060303 -342.332916, -115.090843 -274.362152 60.124428, 240.358505 562.027344 -665.774719, -239.874908 -372.208954 39.938152, 168.638931 727.882935 -753.590820, -96.323593 -429.481323 105.377640, -249.596725 -269.341034 168.090775, 618.133362 -425.400085 288.988861, 326.712677 574.894897 -764.560852, 
-725.688782 -392.584412 -352.280945, 161.724197 600.877686 -615.650635, 204.410782 735.187805 -615.729370, -579.064209 -500.567230 -485.483643, 332.426971 617.075195 -600.295654, 635.321655 -577.020508 309.197357, 484.245514 -444.177765 459.109650, -663.934875 -368.421661 -494.094147, 308.156036 728.495850 -780.872803, 658.752258 -450.209076 375.893341, 331.890411 714.033569 -669.367737, -724.210327 -526.009338 -431.857391, 615.352478 -424.082733 467.125061, -104.201775 -311.017761 210.028793, 491.194702 -597.517334 319.484131, 503.304199 -504.250763 313.740845, 490.214142 -405.972260 327.373260, 177.543442 590.383667 -772.307800, 505.393616 -578.251770 455.378571, 644.525146 -569.279053 455.764984, -231.060715 -423.707306 193.425217, -582.115540 -442.813293 -343.129181, -116.655754 -275.448730 57.485092, 248.690659 563.891602 -662.011841, -242.313705 -374.030273 41.992607, 169.398697 727.476929 -753.803284, -97.452011 -430.046722 103.479897, -248.966537 -268.896637 168.307144, 623.161743 -425.126251 288.648407, 327.159210 577.924683 -764.659912, 
-724.525269 -390.330811 -352.199554, 160.865845 599.779541 -617.781738, 199.992538 733.268005 -615.393555, -580.436462 -502.670044 -485.472687, 332.690765 607.170105 -603.306335, 636.504028 -576.732239 308.883209, 486.032318 -440.232452 458.394775, -663.340698 -369.248169 -494.603241, 308.928955 725.480286 -780.880188, 655.468994 -450.245758 378.319550, 330.980438 722.878174 -656.926575, -725.009277 -525.507446 -429.213135, 619.116577 -425.018921 469.116943, -102.710617 -309.689484 208.566040, 492.178802 -597.234131 318.894043, 505.132050 -503.922943 315.257568, 491.588257 -405.972260 324.647888, 177.866043 588.559326 -770.868042, 503.558228 -576.520325 455.513275, 643.295044 -570.929138 455.304321, -228.816193 -422.797058 196.035095, -581.192749 -442.543121 -343.726959, -118.058342 -276.115234 55.768822, 252.716141 566.226196 -660.320984, -243.877426 -375.650604 43.508804, 170.184433 727.241272 -753.985168, -98.060852 -430.354858 102.284447, -248.624634 -268.491089 168.018082, 627.041382 -425.187897 288.164734, 327.209076 580.684814 -764.502625, 
-723.672546 -388.274994 -352.424011, 160.607452 598.113281 -618.696655, 195.160828 730.831482 -615.888550, -581.808716 -504.480743 -485.608887, 333.463287 600.042603 -605.927002, 637.295227 -576.478210 308.456879, 487.442902 -436.903229 457.436035, -662.797974 -369.873474 -495.082520, 310.294952 723.587341 -778.768921, 651.909973 -450.167664 380.021576, 328.905334 726.932434 -647.405457, -725.622498 -524.966736 -426.574707, 621.955261 -425.720215 471.273773, -101.691681 -308.825226 207.323181, 492.826508 -596.859985 318.368835, 506.005615 -503.558594 316.822296, 492.706085 -406.169678 321.599457, 177.977493 587.041382 -770.228638, 502.309113 -574.900452 455.535461, 642.598328 -572.313599 454.852142, -226.997803 -422.347534 197.624725, -580.412781 -442.114044 -344.294250, -119.662895 -276.497223 54.513603, 253.756973 569.329834 -660.649170, -244.982224 -377.457550 44.456139, 171.110046 727.092102 -754.740234, -98.278168 -430.424408 101.220184, -248.480087 -268.300507 167.664612, 629.948914 -425.542297 287.735413, 327.241333 582.297668 -764.834900, 
-722.950684 -386.679047 -352.633270, 160.316208 596.029114 -619.045593, 191.416550 729.185974 -616.802979, -582.870728 -505.774384 -485.598663, 334.470154 595.878418 -608.209229, 637.611023 -576.346069 308.375336, 488.643768 -434.908081 456.167725, -662.474548 -370.321472 -495.406586, 311.884460 722.929077 -775.899658, 648.703674 -449.383759 381.144592, 326.902008 728.138794 -641.007690, -726.061096 -524.575012 -424.697540, 624.183167 -426.536346 473.337982, -101.106773 -308.217865 206.594681, 493.309784 -596.785767 317.705444, 506.645386 -503.308014 317.834351, 493.079407 -406.163544 318.933258, 178.161285 586.015991 -770.023621, 501.339325 -573.913330 455.617523, 642.328613 -573.262939 454.608490, -225.663422 -422.356537 198.701660, -579.883972 -441.874451 -344.655884, -120.917809 -276.565247 53.716656, 253.372772 572.388367 -660.813416, -245.556671 -378.886871 45.297817, 172.060745 726.682861 -756.148865, -98.176636 -430.238586 100.541687, -248.573395 -268.514038 167.500488, 632.043030 -426.032471 287.279053, 327.358429 582.844482 -765.521729, 
